               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,           0.0094609,           0.0040152,          0.00010491,                   1,                   1,               0.995,             0.96959,           0.0038684,           0.0019696,          4.4653e-05,           0.0015566,           0.0015566,           0.0015566
                  86,           0.0091943,           0.0038985,          9.8138e-05,                   1,                   1,               0.995,             0.97214,           0.0037852,           0.0017542,          4.2309e-05,           0.0014905,           0.0014905,           0.0014905
                  87,           0.0091798,           0.0038387,          8.3022e-05,             0.99999,                   1,               0.995,             0.97723,           0.0037965,           0.0017898,          4.0307e-05,           0.0014283,           0.0014283,           0.0014283
                  88,           0.0090498,           0.0040042,          8.0684e-05,             0.99999,                   1,               0.995,             0.98113,           0.0036241,           0.0017438,          3.9995e-05,           0.0013701,           0.0013701,           0.0013701
                  89,           0.0090092,           0.0040506,           7.744e-05,             0.99999,                   1,               0.995,             0.98843,           0.0034342,           0.0016783,          3.8889e-05,            0.001316,            0.001316,            0.001316
                  90,            0.009164,           0.0042049,          7.8063e-05,             0.99999,                   1,               0.995,             0.97482,           0.0035756,           0.0018317,          3.7921e-05,            0.001266,            0.001266,            0.001266
                  91,           0.0088752,           0.0040169,          7.5218e-05,             0.99999,                   1,               0.995,             0.98625,           0.0034463,           0.0017294,          3.5547e-05,           0.0012202,           0.0012202,           0.0012202
                  92,           0.0089066,            0.004009,          7.3854e-05,                   1,                   1,               0.995,             0.98658,            0.003282,           0.0018181,          3.4871e-05,           0.0011787,           0.0011787,           0.0011787
                  93,           0.0088061,           0.0038184,          7.1599e-05,                   1,                   1,               0.995,             0.99177,           0.0033705,           0.0016994,          3.5763e-05,           0.0011414,           0.0011414,           0.0011414
                  94,           0.0086501,           0.0039255,          7.0239e-05,                   1,                   1,               0.995,             0.97687,           0.0035638,           0.0017838,          3.4661e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.008641,           0.0038178,          7.4177e-05,                   1,                   1,               0.995,             0.98964,            0.003334,             0.00176,          3.1974e-05,           0.0010797,           0.0010797,           0.0010797
                  96,           0.0085114,           0.0038976,          6.6539e-05,             0.99999,                   1,               0.995,             0.98466,           0.0032717,           0.0016251,          3.2172e-05,           0.0010554,           0.0010554,           0.0010554
                  97,           0.0085247,           0.0037154,          6.3165e-05,             0.99998,                   1,               0.995,             0.98575,           0.0033572,           0.0016897,          3.1301e-05,           0.0010355,           0.0010355,           0.0010355
                  98,           0.0084774,           0.0037497,          9.0091e-05,             0.99999,                   1,               0.995,             0.98974,           0.0033275,           0.0018308,          3.0519e-05,             0.00102,             0.00102,             0.00102
                  99,           0.0085149,           0.0037109,          6.2431e-05,             0.99999,                   1,               0.995,             0.98397,           0.0034067,           0.0018389,          2.9644e-05,           0.0010089,           0.0010089,           0.0010089
